Route Name,Route Link
Bareilly (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Lucknow to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Prayagraj(Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh-uttar-pradesh
Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Bareilly (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Kanpur (Uttar Pradesh) to Jhansi(Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-jhansi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-bareilly
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
Agra to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/agra-to-bareilly
Prayagraj(Uttar Pradesh) to Varanasi,https://www.redbus.in/bus-tickets/allahabad-to-varanasi
Varanasi to Prayagraj(Uttar Pradesh),https://www.redbus.in/bus-tickets/varanasi-to-allahabad
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Bareilly (Uttar Pradesh) to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
Varanasi to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/varanasi-to-gorakhpur
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
Kanpur (Uttar Pradesh) to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Kanpur (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
Ballia (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/ballia-to-lucknow
Lucknow to Moradabad,https://www.redbus.in/bus-tickets/lucknow-to-moradabad
Agra to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/agra-to-aligarh-uttar-pradesh
Lucknow to Ballia (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-ballia
Varanasi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/varanasi-to-kanpur
Lucknow to Jhansi(Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-jhansi
Delhi to Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit
Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
Varanasi to Ayodhya,https://www.redbus.in/bus-tickets/varanasi-to-ayodhya
